text_id,gold_label,MV_label,MVconf0,MVconf1,MVconf2,MVconf3,MVconf4,MVconf5,MVconf6,MVconf7
1386,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1387,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1388,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1389,2,2,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0
1390,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1391,1,0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
1392,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393,0,2,0.333333333333,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0
1394,6,3,0.0,0.0,0.333333333333,0.333333333333,0.0,0.0,0.333333333333,0.0
1395,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1396,0,5,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0
1397,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1398,0,2,0.333333333333,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0
1399,0,2,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0
1400,0,5,0.333333333333,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0
1401,0,0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0
1402,1,4,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
1403,5,2,0.0,0.333333333333,0.333333333333,0.0,0.0,0.333333333333,0.0,0.0
1404,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1405,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1406,0,3,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1407,1,2,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0
1408,1,1,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0
1409,0,3,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1410,0,0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0
1411,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1412,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1413,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1414,0,4,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1415,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1416,0,1,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0
1417,2,2,0.0,0.0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0
1418,2,2,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0
1419,5,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1420,1,1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1421,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1422,0,0,0.6,0.0,0.2,0.0,0.0,0.2,0.0,0.0
1423,2,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1424,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1425,2,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1426,0,2,0.333333333333,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0
1427,7,1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1428,2,2,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0
1429,4,0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
1430,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1431,2,5,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0
1432,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1433,0,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1434,0,5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1435,2,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
1436,0,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1437,1,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1438,0,0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1439,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440,1,1,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0
1441,1,1,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0
1442,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1443,0,0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0
1444,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1445,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1446,0,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1447,0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1448,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1449,0,0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
1450,2,0,0.666666666667,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
1451,0,4,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0
1452,1,1,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0
1453,0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0
1454,1,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1455,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1456,0,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1457,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1458,1,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1459,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,0,0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1461,4,0,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.333333333333,0.0
1462,0,0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
1463,1,1,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0
1464,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1465,0,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1466,0,0,0.4,0.0,0.0,0.0,0.0,0.4,0.2,0.0
1467,3,3,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
1468,5,5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1469,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1470,0,0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1471,0,5,0.333333333333,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0
1472,1,1,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
1473,2,1,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
1474,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1475,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1476,1,5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1477,4,4,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0
1478,1,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1479,1,1,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
1480,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1481,0,1,0.333333333333,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0
1482,5,5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1483,5,5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
1484,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1485,0,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1486,1,1,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0
1487,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1488,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1489,0,0,0.666666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0
1490,0,2,0.333333333333,0.0,0.333333333333,0.0,0.0,0.333333333333,0.0,0.0
1491,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492,5,5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1493,0,0,0.333333333333,0.0,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0
1494,2,0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0
1495,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1496,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1497,7,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1498,2,0,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.333333333333
1499,0,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1500,7,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
1501,0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1502,5,0,0.666666666667,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
1503,0,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1504,6,0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0
1505,0,1,0.333333333333,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.0
1506,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1507,0,1,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.0
1508,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1510,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1511,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512,1,0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1513,1,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1514,1,1,0.0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0,0.0
1515,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,1,0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1517,0,0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0
1518,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1520,6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1521,0,7,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5
1522,0,0,0.666666666667,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
1523,1,1,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
1524,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1525,1,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1526,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1527,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1528,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1529,1,1,0.0,0.666666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0
1530,1,1,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0
1531,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1532,0,5,0.333333333333,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.333333333333
1533,5,5,0.0,0.333333333333,0.0,0.0,0.0,0.666666666667,0.0,0.0
1534,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1535,5,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1536,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1537,0,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1538,1,5,0.333333333333,0.0,0.333333333333,0.0,0.0,0.333333333333,0.0,0.0
1539,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1540,1,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
1541,1,0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
1542,1,1,0.0,0.666666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0
1543,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1545,4,0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1546,0,5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1547,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1548,0,0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1549,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550,0,5,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0
1551,0,4,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1552,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1553,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1554,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1555,1,7,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.333333333333
1556,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1557,1,1,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0
1558,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1559,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1561,0,0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0
1562,0,5,0.0,0.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.0
1563,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1564,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1565,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1566,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1567,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568,0,5,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0
1569,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1570,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571,0,0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1572,0,0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1573,1,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1574,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1575,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576,0,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1577,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1578,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1579,0,7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
1580,1,2,0.0,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0
1581,1,0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1582,0,7,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.666666666667
1583,1,1,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
1584,2,2,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0
1585,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1586,3,0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0
1587,5,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1588,1,0,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0
1589,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1590,1,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1591,1,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1592,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1593,6,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1594,0,4,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
1595,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1596,3,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1597,1,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1598,1,1,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
1599,0,2,0.333333333333,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0
1600,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25
1601,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1602,1,1,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
1603,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1604,0,0,0.666666666667,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
1605,0,5,0.333333333333,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0
1606,1,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1607,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,1,5,0.0,0.333333333333,0.0,0.0,0.0,0.666666666667,0.0,0.0
1609,0,2,0.333333333333,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0
1610,6,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1611,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1612,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1613,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1614,0,0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0
1615,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1616,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1618,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1619,6,6,0.25,0.0,0.25,0.0,0.0,0.0,0.5,0.0
1620,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1621,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1622,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1623,0,2,0.333333333333,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0
1624,0,2,0.333333333333,0.0,0.333333333333,0.0,0.0,0.333333333333,0.0,0.0
1625,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1626,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1629,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1630,0,0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1631,6,6,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0
1632,1,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1633,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1634,0,4,0.333333333333,0.0,0.333333333333,0.0,0.333333333333,0.0,0.0,0.0
1635,1,0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1636,1,5,0.0,0.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.0
1637,1,5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1638,6,6,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
1639,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1640,1,0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
1641,7,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1642,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1644,7,0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333
1645,6,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
1646,1,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1647,1,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1648,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1649,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1650,1,1,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1651,6,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1652,6,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1653,0,1,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
1654,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1655,7,7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
1656,1,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1657,0,6,0.333333333333,0.0,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0
1658,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1659,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1660,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1661,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1662,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1663,0,5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
1664,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665,1,1,0.0,0.666666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0
1666,1,1,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
1667,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1668,6,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1669,6,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1670,1,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1671,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1672,0,1,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
1673,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1674,6,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1675,1,6,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1676,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1677,1,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1678,6,1,0.0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0,0.0
1679,0,0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1680,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1681,4,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
1682,1,1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1683,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1684,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1685,0,0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1686,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1687,1,5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1688,0,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1689,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1690,5,1,0.0,0.666666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0
1691,6,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
1692,0,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1693,0,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1694,6,6,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.666666666667,0.0
1695,1,0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
1696,0,0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0
1697,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1698,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1699,7,0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333
1700,0,0,0.666666666667,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
1701,3,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
1702,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1703,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1704,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1705,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1706,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1707,6,0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0
1708,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1709,0,0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0
1710,6,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1711,7,5,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0
1712,0,6,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0
1713,1,7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
1714,1,0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1715,0,1,0.0,0.666666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0
1716,6,1,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
1717,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1718,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719,0,5,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0
1720,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1721,1,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1722,1,4,0.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.0,0.0
1723,3,3,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0
1724,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1725,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1726,0,0,0.666666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0
1727,0,0,0.666666666667,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
1728,0,0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0
